relative_day,mcar,std_error
-5,0.0091683758735228,0.004251859040902799
-4,0.005861618863807042,0.004861128867366197
-3,-0.0022088515100005383,0.005117548470110181
-2,-0.0016588600096983964,0.002468580977786827
-1,0.0,0.0
0,0.0018527989616817099,0.004611342277564355
1,-0.0015195866635451284,0.005986292627416328
2,-0.007686148399076137,0.007358316049853608
3,-0.008569737259257663,0.007481127445651719
4,-0.006997889024185112,0.008520495870213462
5,-0.007932542054658726,0.008531285452247695
