relative_day,mcar,std_error
-5,-0.006212548289871667,0.005912290762047529
-4,-0.0019957251123958217,0.0038041191639157724
-3,-0.0020030370133259077,0.003918123519806856
-2,0.00227975734036044,0.0030460390667408138
-1,0.0,0.0
0,0.003617333241463889,0.002618680691684994
1,-0.0009578121984575922,0.004306213185152423
2,-0.004714106155310688,0.005619775197044081
3,-0.004023387703798662,0.005703215965643291
4,-0.002467084634105613,0.00582875838905625
5,-0.0025346391458563717,0.006817567869871056
